className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity
org.apache.velocity.util.introspection.VelPropertySet,3,1,0,4,3,3,4,0,3,2.0,3,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1,0.3333333333333333
org.apache.velocity.anakia.OutputWrapper,2,2,0,3,7,1,1,2,2,2.0,21,0.0,0,0.987179487,0.666666667,1,1,9.5,1,0.5,1,0.047619047619047616
org.apache.velocity.runtime.parser.node.ASTNumberLiteral,5,2,0,7,11,0,4,5,5,0.25,44,1.0,0,0.9,0.433333333,0,0,7.6,1,0.6,0,0.0
org.apache.velocity.runtime.parser.node.ASTIdentifier,5,2,0,16,33,0,4,14,5,0.5,245,1.0,1,0.9,0.46666666700000003,0,0,47.6,1,0.6,1,0.012244897959183673
org.apache.velocity.test.provider.BoolObj,3,1,0,1,4,3,1,0,3,2.0,10,0.0,0,0.0,1.0,0,0,2.333333333,1,0.6667,0,0.0
org.apache.velocity.exception.VelocityException,1,3,3,3,2,0,3,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,1,0.4
org.apache.velocity.util.introspection.MethodMap,11,1,0,2,37,49,1,1,4,0.933333333,680,0.25,0,0.0,0.233766234,0,0,59.72727273,60,9.8182,1,0.0029411764705882353
org.apache.velocity.app.VelocityEngine,24,1,0,19,62,0,6,13,24,0.0,392,1.0,1,0.0,0.238636364,0,0,15.29166667,2,1.0,1,0.007653061224489796
org.apache.velocity.runtime.directive.VelocimacroProxy,15,2,0,16,42,41,3,13,12,0.792857143,445,1.0,1,0.333333333,0.237037037,0,0,28.0,3,1.2667,1,0.008988764044943821
org.apache.velocity.runtime.parser.node.ASTAssignment,3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.9642857140000001,0.533333333,0,0,4.666666667,1,0.3333,1,0.058823529411764705
org.apache.velocity.test.TexenTestCase,4,4,0,3,8,6,0,3,3,1.333333333,62,1.0,0,0.947368421,0.75,2,4,14.0,5,1.75,0,0.0
org.apache.velocity.runtime.directive.Include,7,3,0,10,28,15,0,10,5,0.5,258,1.0,0,0.571428571,0.428571429,0,0,35.57142857,1,0.8571,1,0.007751937984496124
org.apache.velocity.app.event.NullSetEventHandler,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,2.0
org.apache.velocity.runtime.resource.Resource,17,1,2,24,20,96,21,4,17,0.9027777779999999,120,1.0,2,0.0,0.235294118,0,0,5.529411765,3,1.0588,1,0.008333333333333333
org.apache.velocity.anakia.AnakiaElement,12,2,0,7,27,64,1,6,11,0.9090909090000001,86,1.0,0,0.9146341459999999,0.606060606,1,1,6.083333333,1,0.5833,1,0.011627906976744186
org.apache.velocity.runtime.parser.node.ASTBlock,4,2,0,10,10,6,4,8,4,2.0,37,0.0,0,0.931034483,0.39285714299999996,1,1,8.25,1,0.5,1,0.02702702702702703
org.apache.velocity.runtime.parser.node.ASTElseIfStatement,5,2,0,10,11,10,4,8,5,2.0,32,0.0,0,0.9,0.37142857100000004,1,2,5.4,1,0.6,1,0.03125
org.apache.velocity.runtime.parser.node.NodeUtils,4,1,0,4,17,6,2,2,4,2.0,222,0.0,0,0.0,0.3125,0,0,54.5,14,6.75,1,0.0045045045045045045
org.apache.velocity.runtime.directive.Parse,4,3,0,12,25,6,0,12,4,1.0,238,1.0,0,0.727272727,0.4375,1,1,58.25,1,0.75,1,0.004201680672268907
org.apache.velocity.test.MiscTestCase,4,4,0,4,8,6,0,4,4,2.0,67,0.0,0,0.9642857140000001,0.5,3,3,15.75,1,0.5,0,0.0
org.apache.velocity.runtime.log.LogManager,2,1,0,5,22,1,1,4,2,2.0,158,0.0,0,0.0,0.5,0,0,78.0,1,0.5,1,0.006329113924050633
org.apache.velocity.runtime.parser.ParserConstants,1,1,0,2,1,0,2,0,0,2.0,321,0.0,0,0.0,0.0,0,0,252.0,0,0.0,0,0.0
org.apache.velocity.app.FieldMethodizer,7,1,0,2,20,1,2,0,6,0.0,137,1.0,0,0.0,0.46428571399999996,0,0,18.28571429,4,1.0,1,0.0072992700729927005
org.apache.velocity.runtime.log.LogSystem,2,1,0,11,2,1,10,1,2,2.0,7,0.0,0,0.0,0.625,0,0,0.0,1,1.0,1,0.14285714285714285
org.apache.velocity.test.provider.Child,2,2,0,2,3,1,1,1,2,2.0,7,0.0,0,0.5,1.0,0,0,2.5,1,0.5,0,0.0
org.apache.velocity.test.provider.Person,2,1,1,2,3,1,2,0,2,2.0,7,0.0,0,0.0,1.0,0,0,2.5,1,0.5,0,0.0
org.apache.velocity.test.view.TemplateNodeView,2,1,0,6,16,1,0,6,2,0.0,67,1.0,2,0.0,0.5,0,0,31.5,1,0.5,0,0.0
org.apache.velocity.runtime.parser.node.ASTModNode,4,2,0,10,20,6,4,8,4,2.0,161,0.0,0,0.931034483,0.41666666700000005,1,1,39.25,1,0.5,1,0.006211180124223602
org.apache.velocity.runtime.parser.node.ASTLTNode,5,2,0,10,22,10,4,8,5,2.0,153,0.0,0,0.9,0.4,1,1,29.6,1,0.6,1,0.006535947712418301
org.apache.velocity.texen.util.PropertiesUtil,4,1,0,1,22,6,0,1,2,2.0,102,0.0,0,0.0,0.875,0,0,24.5,3,1.75,1,0.00980392156862745
org.apache.velocity.runtime.parser.ParserTreeConstants,1,1,0,3,1,0,3,0,0,2.0,196,0.0,0,0.0,0.0,0,0,156.0,0,0.0,0,0.0
org.apache.velocity.runtime.parser.node.ASTEscapedDirective,4,2,0,5,9,6,1,5,4,2.0,25,0.0,0,0.931034483,0.39285714299999996,0,0,5.25,1,0.5,1,0.04
org.apache.velocity.runtime.parser.node.ASTExpression,5,2,0,8,11,10,4,6,5,2.0,31,0.0,0,0.9,0.4,1,2,5.2,1,0.6,1,0.03225806451612903
org.apache.velocity.runtime.parser.node.ASTDivNode,4,2,0,10,20,6,4,8,4,2.0,161,0.0,0,0.931034483,0.41666666700000005,1,1,39.25,1,0.5,1,0.006211180124223602
org.apache.velocity.context.InternalEventContext,2,1,0,10,2,1,10,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,1,0.5
org.apache.velocity.test.VelocityServletTest,3,3,0,8,18,3,1,8,3,2.0,50,0.0,0,0.9607843140000001,0.666666667,2,2,15.66666667,1,0.6667,0,0.0
org.apache.velocity.io.VelocityWriter,20,2,0,1,30,52,1,0,14,0.673684211,378,0.7,0,0.448275862,0.324561404,1,2,17.4,4,1.0,1,0.0026455026455026454
org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory,2,1,0,5,14,1,1,4,2,2.0,55,0.0,0,0.0,0.5,0,0,26.5,1,0.5,1,0.01818181818181818
org.apache.velocity.runtime.parser.node.ASTprocess,3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.9642857140000001,0.533333333,0,0,4.666666667,1,0.3333,1,0.058823529411764705
org.apache.velocity.app.event.ReferenceInsertionEventHandler,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,2.0
org.apache.velocity.runtime.visitor.NodeViewMode,37,2,0,39,46,660,1,38,35,0.013888889,304,1.0,0,0.506849315,0.07815924,0,0,7.162162162,4,1.0811,1,0.003289473684210526
org.apache.velocity.runtime.parser.node.ASTMulNode,4,2,0,10,20,6,4,8,4,2.0,131,0.0,0,0.931034483,0.41666666700000005,1,1,31.75,1,0.5,1,0.007633587786259542
org.apache.velocity.texen.Generator,25,1,0,6,76,194,2,4,17,0.8787878790000001,508,0.727272727,3,0.0,0.261904762,0,0,18.88,5,1.16,1,0.001968503937007874
org.apache.velocity.anakia.AnakiaJDOMFactory,5,2,0,5,10,10,1,4,5,2.0,32,0.0,0,0.833333333,0.666666667,0,0,5.4,1,0.8,1,0.03125
org.apache.velocity.util.SimplePool,4,1,0,2,5,0,2,0,4,0.333333333,97,1.0,0,0.0,0.5,0,0,22.5,3,1.5,1,0.010309278350515464
org.apache.velocity.anakia.TreeWalker,3,1,0,3,11,3,1,2,2,2.0,41,0.0,0,0.0,0.666666667,0,0,12.66666667,2,1.0,1,0.024390243902439025
org.apache.velocity.runtime.parser.node.ASTWord,3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.9642857140000001,0.533333333,0,0,4.666666667,1,0.3333,1,0.058823529411764705
org.apache.velocity.runtime.configuration.Configuration,53,3,0,6,139,1188,5,3,50,0.834134615,1625,1.0,1,0.39506172799999995,0.102272727,0,0,29.50943396,7,2.5094,0,0.0
org.apache.velocity.runtime.exception.ReferenceException,1,3,0,3,9,0,2,1,1,2.0,27,0.0,0,1.0,1.0,0,0,26.0,0,0.0,1,0.07407407407407407
org.apache.velocity.runtime.parser.node.ASTDirective,7,2,0,12,24,0,4,10,7,0.611111111,136,1.0,1,0.84375,0.303571429,0,0,18.0,1,0.7143,1,0.022058823529411766
org.apache.velocity.runtime.compiler.Compiler,2,1,0,28,41,1,0,28,2,2.0,332,0.0,0,0.0,0.5,0,0,165.0,1,0.5,0,0.0
org.apache.velocity.context.AbstractContext,13,2,1,14,17,66,10,4,13,0.75,95,1.0,1,0.47619047600000003,0.46153846200000004,0,0,6.230769231,4,1.3846,1,0.010526315789473684
org.apache.velocity.runtime.parser.TokenMgrError,6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,0,0.0
org.apache.velocity.anakia.NodeList,37,1,0,17,92,0,3,14,34,0.5,438,1.0,1,0.0,0.177777778,1,1,10.78378378,13,1.1622,1,0.00228310502283105
org.apache.velocity.runtime.parser.node.ASTGENode,5,2,0,10,22,10,4,8,5,2.0,153,0.0,0,0.9,0.4,1,1,29.6,1,0.6,1,0.006535947712418301
org.apache.velocity.runtime.Runtime,30,1,0,10,60,435,0,10,30,2.0,133,0.0,0,0.0,0.133333333,0,0,3.433333333,1,0.9667,1,0.007518796992481203
org.apache.velocity.runtime.parser.Token,3,1,0,20,4,3,20,0,3,1.4375,23,0.0,2,0.0,0.5,0,0,4.0,2,1.0,0,0.0
org.apache.velocity.app.event.EventHandler,0,1,0,6,0,0,6,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,1,inf
org.apache.velocity.runtime.parser.JJTParserState,12,1,0,2,25,0,1,1,0,0.436363636,218,1.0,0,0.0,0.39583333299999995,0,0,16.75,3,1.3333,0,0.0
org.apache.velocity.runtime.parser.VelocityCharStream,24,1,0,2,36,0,1,1,21,0.504347826,991,0.666666667,0,0.0,0.3125,0,0,39.66666667,7,1.5,1,0.0010090817356205853
org.apache.velocity.test.TemplateTestSuite,3,2,0,5,19,1,1,5,1,0.5,82,1.0,0,0.9,0.5,0,0,26.0,2,1.0,0,0.0
org.apache.velocity.runtime.parser.node.ASTVariable,3,2,0,3,6,3,0,3,3,2.0,17,0.0,0,0.9642857140000001,0.533333333,0,0,4.666666667,1,0.3333,1,0.058823529411764705
org.apache.velocity.runtime.resource.ResourceCacheImpl,6,1,0,5,19,0,1,4,6,0.5,61,1.0,1,0.0,0.45833333299999995,0,0,8.833333332999999,1,0.8333,1,0.01639344262295082
org.apache.velocity.test.ContextSafetyTestCase,3,4,0,10,26,3,0,10,3,2.0,155,0.0,0,0.9642857140000001,0.666666667,2,4,50.66666667,2,1.0,0,0.0
org.apache.velocity.runtime.RuntimeServices,28,1,0,67,28,378,60,11,28,2.0,28,0.0,0,0.0,0.23809523800000001,0,0,0.0,1,1.0,1,0.03571428571428571
org.apache.velocity.runtime.directive.Directive,8,1,5,20,9,16,14,7,8,0.761904762,40,1.0,1,0.0,0.3125,0,0,3.625,1,0.875,1,0.05
org.apache.velocity.runtime.log.NullLogSystem,3,1,0,3,4,3,1,2,3,2.0,8,0.0,0,0.0,0.5,0,0,1.6666666669999999,1,0.6667,1,0.125
org.apache.velocity.runtime.directive.Literal,5,2,0,4,10,8,0,4,5,0.75,31,0.0,0,0.636363636,0.44,0,0,5.0,1,0.8,1,0.06451612903225806
org.apache.velocity.anakia.AnakiaTask,13,4,0,24,76,38,0,24,10,0.833333333,683,1.0,1,0.8666666670000001,0.5,2,2,50.46153846,5,1.4615,1,0.0014641288433382138
org.apache.velocity.anakia.XPathTool,4,1,0,6,10,6,1,5,4,2.0,34,0.0,0,0.0,0.5,0,0,7.5,1,0.75,1,0.029411764705882353
org.apache.velocity.runtime.parser.node.ASTText,5,2,0,8,12,8,4,6,5,0.75,38,1.0,0,0.9,0.4,0,0,6.4,1,0.6,1,0.05263157894736842
org.apache.velocity.runtime.parser.node.Node,24,1,0,44,24,276,38,6,24,2.0,24,0.0,0,0.0,0.244047619,0,0,0.0,1,1.0,1,0.08333333333333333
org.apache.velocity.util.introspection.Info,5,1,0,6,6,4,6,0,4,0.75,32,1.0,0,0.0,0.46666666700000003,0,0,4.8,1,0.6,1,0.03125
org.apache.velocity.test.IntrospectorTestCase2,5,4,0,8,21,10,0,8,3,1.0,110,0.0,0,0.947368421,0.5,3,3,20.6,5,1.4,0,0.0
org.apache.velocity.test.IntrospectorTestCase3,4,4,0,7,18,6,0,7,3,1.0,308,0.0,0,0.947368421,0.5,0,0,75.5,2,1.0,0,0.0
org.apache.velocity.runtime.parser.node.ASTReference,14,2,0,21,61,29,7,16,13,0.78974359,782,1.0,1,0.692307692,0.253968254,1,2,53.78571429,18,2.2143,1,0.005115089514066497
org.apache.velocity.runtime.parser.node.ASTNotNode,5,2,0,8,10,10,4,6,5,2.0,39,0.0,0,0.9,0.4,1,2,6.8,1,0.6,1,0.02564102564102564
org.apache.velocity.app.event.MethodExceptionEventHandler,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,1,2.0
org.apache.velocity.runtime.parser.node.GetExecutor,3,2,0,6,13,0,1,5,3,0.0,86,1.0,0,0.6,0.47619047600000003,1,2,27.33333333,1,0.6667,1,0.023255813953488372
org.apache.velocity.test.TemplateTestBase,0,1,0,6,0,0,6,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.velocity.runtime.parser.node.ASTOrNode,5,2,0,8,11,10,4,6,5,2.0,52,0.0,0,0.9,0.4,1,1,9.4,1,0.6,1,0.019230769230769232
org.apache.velocity.test.ExternalLoggerTest,5,3,0,6,18,4,0,6,5,0.375,105,1.0,1,0.924528302,0.35,3,3,19.6,3,1.4,0,0.0
org.apache.velocity.test.BaseTestCase,6,3,17,22,26,13,17,5,1,0.6,111,1.0,0,0.907407407,0.75,0,0,17.33333333,3,1.3333,0,0.0
org.apache.velocity.runtime.log.Log4JLogSystem,10,1,0,12,50,0,0,12,4,0.36111111100000004,353,1.0,1,0.0,0.325,0,0,33.9,2,1.1,1,0.0028328611898017
org.apache.velocity.runtime.parser.node.ASTIntegerRange,4,2,0,8,22,6,1,8,4,2.0,156,0.0,0,0.931034483,0.41666666700000005,1,1,38.0,1,0.5,1,0.00641025641025641
org.apache.velocity.runtime.resource.ResourceManagerImpl,8,1,0,12,66,0,0,12,5,0.728571429,593,0.8,2,0.0,0.45,0,0,71.875,8,2.125,1,0.003372681281618887
org.apache.velocity.runtime.parser.ParseException,5,3,1,11,18,0,10,1,4,0.55,387,0.4,1,0.8666666670000001,0.4,1,1,75.4,14,4.8,0,0.0
org.apache.velocity.test.AnakiaTestCase,3,4,0,3,8,3,0,3,3,1.5,33,1.0,0,0.9642857140000001,0.666666667,2,3,9.0,2,1.0,0,0.0
org.apache.velocity.runtime.resource.ResourceFactory,2,1,0,4,5,1,1,3,2,2.0,20,0.0,0,0.0,0.5,0,0,9.0,4,2.0,1,0.05
org.apache.velocity.runtime.parser.node.ASTEQNode,5,2,0,10,22,10,4,8,5,2.0,140,0.0,0,0.9,0.4,2,2,27.0,1,0.6,1,0.007142857142857143
org.apache.velocity.test.EncodingTestCase,3,4,0,8,22,3,0,8,3,2.0,207,0.0,0,0.9642857140000001,0.666666667,2,4,68.0,4,1.6667,0,0.0
org.apache.velocity.runtime.RuntimeSingleton,37,1,0,29,72,0,15,14,35,0.027777778,192,1.0,1,0.0,0.11419753099999999,0,0,4.1621621619999996,1,0.9459,1,0.005208333333333333
org.apache.velocity.util.introspection.IntrospectionCacheData,1,1,0,6,2,0,6,0,1,2.0,6,0.0,0,0.0,1.0,0,0,3.0,0,0.0,1,0.16666666666666666
org.apache.velocity.runtime.parser.node.ASTComment,6,2,0,9,14,11,3,8,5,0.8,70,1.0,0,0.9,0.4,0,0,10.33333333,1,0.5,1,0.02857142857142857
org.apache.velocity.util.introspection.VelPropertyGet,3,1,0,4,3,3,4,0,3,2.0,3,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,1,0.3333333333333333
org.apache.velocity.util.introspection.Uberspect,5,1,0,12,5,10,8,4,5,2.0,5,0.0,0,0.0,0.68,0,0,0.0,1,1.0,1,0.2
org.apache.velocity.test.TexenClasspathTestCase,4,4,0,3,8,6,0,3,3,1.333333333,62,1.0,0,0.947368421,0.75,2,4,14.0,5,1.75,0,0.0
org.apache.velocity.runtime.parser.node.ASTTrue,6,2,0,6,9,13,4,4,5,0.8,28,1.0,0,0.9,0.4,0,0,3.5,1,0.5,1,0.03571428571428571
org.apache.velocity.test.ClassloaderChangeTest,6,3,0,10,26,7,0,10,5,0.6,159,1.0,1,0.924528302,0.35,3,3,25.0,3,1.1667,0,0.0
org.apache.velocity.runtime.parser.CharStream,12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0,0.0
